Line 1:
X	Y
1.5517241379310345	246.11136200796506
1.5862068965517242	213.00818827494294
1.6206896551724137	184.55598214091077
1.6551724137931034	160.14174968092863
1.6896551724137931	139.04488140316326
1.7241379310344827	120.84436250478107
1.7586206896551724	105.07050621401915
1.793103448275862	91.36312908341131
1.8275862068965516	79.41261548208261
1.8620689655172413	68.9966962795563
1.896551724137931	59.86434256274072
1.9310344827586206	51.85468167100681
1.9655172413793103	44.78293287552613
2.0	38.49272535086674

Line 7:
X	Y
1.0	2743.471460580253
1.0344827586206897	2260.6813878753023
1.0689655172413792	1871.253408353669
1.103448275862069	1556.3812087817923
1.1379310344827587	1299.0038048266076
1.1724137931034484	1088.9550016322557
1.206896551724138	915.0300426611983
